,Zip Code,Date,Hour,Average PM25
3339,60610,8/9/17,16,48.98412332
3346,60610,8/9/17,18,45.62301282
3347,60610,8/9/17,17,49.78087392
3356,60610,8/9/17,14,49.91760903
3358,60610,8/9/17,19,46.21191149
3359,60608,8/9/17,11,53.02275049
3362,60637,8/9/17,18,51.00142584
3370,60610,8/9/17,16,48.98412332
3377,60610,8/9/17,18,45.62301282
3378,60610,8/9/17,17,49.78087392
3387,60610,8/9/17,14,49.91760903
3435,60637,8/14/17,18,51.78891185
3440,60637,8/14/17,18,51.78891185
3442,60637,8/15/17,10,52.35804878
3443,60637,8/15/17,18,48.05365559
3445,60637,8/15/17,11,50.55814433
3447,60637,8/15/17,10,52.35804878
3448,60637,8/15/17,18,48.05365559
3450,60637,8/15/17,11,50.55814433
3526,60610,8/17/17,18,63.16284357
3537,60610,8/17/17,18,63.16284357
3545,60608,8/18/17,17,59.56528442
3546,60608,8/18/17,17,59.56528442
3547,60608,8/18/17,17,59.56528442
3554,60608,8/18/17,15,62.03369571
3560,60608,8/18/17,18,58.30949835
3587,60608,8/18/17,8,58.21146859
3599,60608,8/18/17,9,56.77529295
3607,60608,8/18/17,17,59.56528442
3614,60608,8/18/17,15,62.03369571
3620,60608,8/18/17,18,58.30949835
3647,60608,8/18/17,8,58.21146859
3659,60608,8/18/17,9,56.77529295
3672,60608,8/19/17,9,64.46575074
3675,60608,8/19/17,18,58.13195518
3678,60608,8/19/17,19,56.28982377
3683,60608,8/19/17,9,64.46575074
3686,60608,8/19/17,18,58.13195518
3689,60608,8/19/17,19,56.28982377
3695,60608,8/21/17,17,64.20399571
3700,60608,8/21/17,17,64.20399571
3702,60608,8/22/17,8,59.41678002
3703,60608,8/22/17,19,52.07004328
3704,60608,8/22/17,18,55.63798148
3706,60608,8/22/17,9,59.64307382
3715,60608,8/22/17,8,59.41678002
3716,60608,8/22/17,19,52.07004328
3717,60608,8/22/17,18,55.63798148
