Zip Code,Date,Hour,Average PM25
60637,7/11/18,10,50.76990765
60615,7/11/18,10,51.07014056
60615,7/12/18,9,51.25105016
60644,7/12/18,10,50.67453649
60644,7/12/18,11,51.911698
60653,7/12/18,11,49.12259958
60637,7/12/18,9,50.21635811
60644,7/12/18,9,50.49545296
60616,7/12/18,9,44.1725
60653,7/12/18,10,48.92312199
60637,7/12/18,10,51.42221691
60616,7/12/18,10,46.8144412
60616,7/12/18,11,47.13450939
60653,7/12/18,9,47.11182322
60637,7/12/18,11,50.84418624
60615,7/12/18,10,49.63943933
60619,7/12/18,9,49.6929085
60615,7/12/18,11,49.36092763
60615,7/12/18,9,51.25105016
60644,7/12/18,10,50.67453649
60644,7/12/18,11,51.911698
60653,7/12/18,11,49.12259958
60637,7/12/18,9,50.21635811
60644,7/12/18,9,50.49545296
60616,7/12/18,9,44.1725
60653,7/12/18,10,48.92312199
60637,7/12/18,10,51.42221691
60616,7/12/18,10,46.8144412
60616,7/12/18,11,47.13450939
60653,7/12/18,9,47.11182322
60637,7/12/18,11,50.84418624
60615,7/12/18,10,49.63943933
60619,7/12/18,9,49.6929085
60615,7/12/18,11,49.36092763
0,7/13/18,16,53.60081883
0,7/13/18,13,55.79753477
0,7/13/18,17,54.90038462
0,7/13/18,16,53.60081883
0,7/13/18,13,55.79753477
0,7/13/18,17,54.90038462
0,7/15/18,13,51.80336657
0,7/15/18,13,51.80336657
0,7/16/18,11,46.84112304
